Epsilon,Unnamed: 1,Epsilon Adjusted
0.0,,0.0
0.6416371116184731,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.4737035329968178,,1.0
0.636889142124098,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.2320393717366713,,1.0
1.0,,1.0
1.0,,1.0
0.2774102156442098,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.4357635615709661,,1.0
0.5575119688769106,,1.0
0.447371728004075,,1.0
1.0,,1.0
0.951138226283174,,1.0
0.4409151495558553,,1.0
1.0,,1.0
0.4068637811375746,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.3795058940588984,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.5746186731272993,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.4187814538199514,,1.0
0.5448702760952869,,1.0
1.0,,1.0
0.2771730827829652,,1.0
1.0,,1.0
0.5713935729015975,,1.0
0.4095452363619581,,1.0
0.9758963212868026,,1.0
1.0,,1.0
1.0,,1.0
0.4244131490218925,,1.0
1.0,,1.0
1.0,,1.0
0.3867545314809446,,1.0
1.0,,1.0
0.2557437080197277,,1.0
1.0,,1.0
1.0,,1.0
0.3967869194295836,,1.0
0.3389201615219746,,1.0
0.5692792542188064,,1.0
1.0,,1.0
0.9995550217715136,,1.0
1.0,,1.0
1.0,,1.0
0.6351902759437141,,1.0
1.0,,1.0
1.0,,1.0
0.4874117288896548,,1.0
0.4989630986256017,,1.0
1.0,,1.0
0.7704739853726964,,1.0
1.0,,1.0
0.5295486273936076,,1.0
0.2539759903885231,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.4881984616597945,,1.0
1.0,,1.0
0.5581814239824138,,1.0
0.4464112224810306,,1.0
0.4296342736360729,,1.0
1.0,,1.0
1.0,,1.0
0.400194615080455,,1.0
0.6320407476705769,,1.0
0.9522028372200386,,1.0
0.4591549216723417,,1.0
0.9920911756465642,,1.0
0.5477081337415579,,1.0
0.9845003437094858,,1.0
0.3902276394407321,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.6869892922166017,,1.0
1.0,,1.0
1.0,,1.0
0.6135209387908782,,1.0
0.5354616658431237,,1.0
0.3049765715250762,,1.0
0.7679916331193296,,1.0
0.6791346603779144,,1.0
0.2673964457916102,,1.0
0.383834520175818,,1.0
0.6543192544281784,,1.0
0.7350302229287555,,1.0
0.2493927577996987,,1.0
0.5528463685246301,,1.0
0.5615589900701577,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.6839226347549038,,1.0
0.501887660974295,,1.0
0.2752893106963164,,1.0
0.6925406813338694,,1.0
0.5473956678093631,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
1.0,,1.0
0.5290530226866416,,1.0
1.0,,1.0
0.2887980971044157,,1.0
0.6675406609391976,,1.0
1.0,,1.0
0.0855051583562497,,1.0
1.0,,1.0
0.3060017022461034,,1.0
1.0,,1.0
0.6374665714364949,,1.0
1.0,,1.0
1.0,,1.0
0.6122012781506705,,1.0
1.0,,1.0
0.6840803832427967,,1.0
0.4412363999784213,,1.0
0.5241744112425673,,1.0
0.621283336784927,,1.0
0.9906368520292488,,1.0
0.4117319736819643,,1.0
1.0,,1.0
0.5756567774062995,,1.0
0.4351519358027301,,1.0
0.5114901252530819,,1.0
1.0,,1.0
0.3369513646492293,,1.0
0.4326356599424329,,1.0
0.5001232983958288,,1.0
0.4559989739212304,,1.0
0.3353889196784062,,1.0
0.1667500557812579,,1.0
1.0,,1.0
1.0,,1.0
0.694723328860207,,1.0
0.3940760756751056,,1.0
0.4603596844764688,,1.0
0.564475949768069,,1.0
0.3099859246515762,,1.0
0.6402428668416666,,1.0
1.0,,1.0
1.0,,1.0
0.6388792304454537,,1.0
1.0,,1.0
1.0,,1.0
0.55299398282342,,1.0
0.5065038538396577,,1.0
1.0,,1.0
0.7181660395762781,,1.0
0.5550143669811111,,1.0
1.0,,1.0
1.0,,1.0
0.2550975337704781,,1.0
1.0,,1.0
1.0,,1.0
0.3790758676148434,,1.0
0.2334782493902345,,1.0
0.3561568467599225,,1.0
1.0,,1.0
0.5438019602796892,,1.0
0.179445575353744,,1.0
1.0,,1.0
1.0,,1.0
0.5485139506878691,,1.0
0.6335005475423883,,1.0
1.0,,1.0
0.4294727493115963,,1.0
1.0,,1.0
0.9816520063818938,,1.0
0.1224600523105932,,1.0
1.0,,1.0
0.5491895684647107,,1.0
1.0,,1.0
0.4903441146704206,,1.0
1.0,,1.0
0.9897655345245608,,1.0
1.0,,1.0
1.0,,1.0
0.4855786076371514,,1.0
0.5788752553184994,,1.0
1.0,,1.0
0.6596218601689792,,1.0
0.3986062256707488,,1.0
0.4073633427329491,,1.0
0.4517539386606218,,1.0
1.0,,1.0
