t,p,effect_size
0.30654170397643127,0.7610616907104533,0.10218056799214374
-0.06719959651217841,0.9468164301007849,0.022399865504059466
-1.4258448460965047,0.16303050188706186,0.47528161536550156
0.9173858170584691,0.3654024956285993,0.30579527235282306
0.37838770269286814,0.7074950109836324,0.12612923423095607
-2.7484381138964236,0.009514714345296238,0.9161460379654746
0.7565651881030699,0.4545212052569284,0.2521883960343566
0.15301620027672116,0.8792900282947023,0.05100540009224039
0.6745682778820608,0.5045114138471236,0.22485609262735357
0.44441510528900957,0.6595585588278721,0.14813836842966982
-1.0947533342178577,0.2813197137120967,0.3649177780726192
0.35880899999240007,0.7219565717328942,0.11960299999746668
0.7257278805214975,0.4729718259807756,0.24190929350716586
-0.9110358872959429,0.36869063190294804,0.3036786290986476
-0.20866125955615442,0.835957744361534,0.06955375318538481
-1.408406771517651,0.16808989142987,0.46946892383921685
-0.7346194873608813,0.4676080127213439,0.24487316245362703
-0.18769755231503654,0.8522294542522274,0.06256585077167885
0.2673970278138572,0.7907788900886432,0.08913234260461907
-0.6678354714722994,0.5087468634818886,0.22261182382409983
0.8529549553070718,0.39965334646216466,0.2843183184356906
-0.020625533430411878,0.983664942333041,0.006875177810137293
-0.9389139312329534,0.35439761041470885,0.31297131041098447
-0.8407846113529306,0.40634295766888706,0.28026153711764357
-1.2528348743635225,0.21881420702799848,0.4176116247878408
-0.5212160907055317,0.6055948275576961,0.17373869690184388
0.47780885053585603,0.6358439658048728,0.15926961684528534
-0.45765654941725076,0.6501105290043145,0.15255218313908359
-0.14385350007073114,0.8864654201741827,0.047951166690243706
-1.167320268399619,0.2512026936324996,0.3891067561332064
-0.3705997504734033,0.7132346469018762,0.12353325015780109
0.14832080471269693,0.8829657804018878,0.04944026823756565
0.1928808608184508,0.8481998359975579,0.06429362027281693
0.2970535140002868,0.7682329660072457,0.0990178380000956
-0.8085936229682628,0.4243710061183745,0.2695312076560876
0.3397065462071581,0.7361671701254642,0.11323551540238605
0.5117394487702711,0.6121412743755645,0.17057981625675703
0.29454216427572116,0.7701345739694061,0.09818072142524038
1.496621615079672,0.14371795995752695,0.498873871693224
0.3857739391520661,0.702067426104366,0.1285913130506887
0.2932713577594893,0.7710973869738553,0.0977571192531631
0.43478870080420035,0.6664630922438687,0.14492956693473344
